"metro","state","lat","long","population","n","pp"
"Dover","DE",39.161,-75.5203,260276,5,1.92103766770659
"Houston","TX",29.7863,-95.3889,7017069,136,1.93813114848949
"Raleigh","NC",35.8325,-78.6435,2114189,41,1.9392778980498
"Cleveland","OH",41.4767,-81.6804,3901658,76,1.94788984580401
"Davenport","IA",41.5563,-90.6052,508555,10,1.96635565474727
"Kalamazoo","MI",42.2749,-85.5882,404627,8,1.97712955388543
"Palm Bay","FL",27.955,-80.6627,899060,18,2.00209107289836
"Salt Lake City","UT",40.7777,-111.9306,2796307,56,2.00264134088281
"Hartford","CT",41.7661,-72.6834,3132972,63,2.01087018971124
"Toledo","OH",41.6639,-83.5822,745850,15,2.01112824294429
"Worcester","MA",42.2705,-71.8079,1042401,21,2.01457980182291
"Pittsburgh","PA",40.4396,-79.9762,3059663,63,2.05905029410102
"Virginia Beach","VA",36.7335,-76.0435,2201795,46,2.08920448997295
"Denton","TX",33.2176,-97.1419,526407,11,2.08963786575786
"Grand Rapids","MI",42.962,-85.6562,1081669,23,2.12634364116934
"Lancaster","PA",40.0421,-76.3012,845930,18,2.12783563651839
"Columbia","MO",38.9478,-92.3256,233145,5,2.14458813184928
"Providence","RI",41.823,-71.4187,2637663,57,2.16100388866963
"Visalia","CA",36.3276,-119.3269,597762,13,2.17477859081039
"Rochester","NY",43.168,-77.6162,1467038,32,2.18126592494537
"Los Angeles","CA",34.1139,-118.4068,18609134,411,2.20859283403516
"Lafayette","LA",30.2084,-92.0323,448738,10,2.22847184771515
"Erie","PA",42.1168,-80.0733,313798,7,2.23073442150683
"Richmond","VA",37.5295,-77.4756,1519321,34,2.23784177273927
"Syracuse","NY",43.0409,-76.1438,927841,21,2.26331882294488
"Des Moines","IA",41.5725,-93.6105,830552,19,2.28763521128117
"Oklahoma City","OK",35.4676,-97.5136,1516555,35,2.30786222721893
"Indio","CA",33.7346,-116.2346,820131,19,2.31670306329111
"Huntsville","AL",34.6988,-86.6412,513533,12,2.33675343161978
"Joplin","MO",37.0758,-94.5018,170806,4,2.34183810873154
"Allentown","PA",40.5961,-75.4756,1911138,45,2.35461803386255
"Medford","OR",42.3372,-122.8537,292894,7,2.38994311935376
"Cedar Rapids","IA",41.9665,-91.6782,412659,10,2.42330834902425
"Topeka","KS",39.0346,-95.6955,246106,6,2.43797388117315
"Columbus","OH",39.9862,-82.985,2254433,55,2.43963781580557
"Tulsa","OK",36.1284,-95.9042,982675,24,2.44231307400717
"Baton Rouge","LA",30.4418,-91.131,809473,20,2.47074331077133
"Binghamton","NY",42.1014,-75.9093,361379,9,2.49046015402112
"San Jose","CA",37.3019,-121.8486,3160766,79,2.49939413420671
"Evansville","IN",37.9881,-87.5341,359826,9,2.50120891764353
"Little Rock","AR",34.7256,-92.3576,754421,19,2.51848768790901
"Ocala","FL",29.178,-82.1511,356185,9,2.52677681541895
"Knoxville","TN",35.9692,-83.9496,791308,20,2.52746086226855
"Charlotte","NC",35.208,-80.8304,2638960,67,2.53887895231455
"Port St. Lucie","FL",27.2796,-80.3883,745923,19,2.54717980274103
